step,BAAFFM_T,CPI_YOY,UNRATE_L
1,4.2612982359337135,2.2046701012535745,7.700003323276606
2,4.18292970809552,2.185814534552496,7.596253157053655
3,4.093346166298334,2.1791145118073976,7.508067954844886
4,4.032765306538893,2.1284426454305576,7.419344004370206
5,3.9526071970367185,2.1542963693332102,7.339766184350355
6,3.877743106058615,2.189904290350678,7.2627001632375885
7,3.8408970612301228,2.269954698179185,7.185320145600584
8,3.7806011658617065,2.380639748644179,7.11848246792444
9,3.681137236486167,2.4844378573752635,7.064485054419165
10,3.612574837855625,2.5599924813757178,6.9782582188544495
11,3.5760091074669806,2.603648539153704,6.9268543925882895
12,3.543882432839792,2.6501092715120427,6.86650973736915
