method,eval_id,feasible,violation,composite,w0,w1,w2,shock_FEDFUNDS,shock_USGOVT,shock_BOGMBASE,shock_NONBORRES,delta_BAAFFM_T,delta_CPI_YOY,delta_UNRATE_L,loss_BAAFFM_T,loss_CPI_YOY,loss_UNRATE_L
WeightedSumMultiStart,0,1,0.0,0.9828224504382019,0.21566158963171705,0.2763008724956399,0.508037537872643,1.4393857883482188,211.70098068877792,-0.037776666355187394,36.94439537710916,-1.102380818303371,-0.13549975829687577,-0.2786327717706847,0.11787929175622347,0.08010039846832406,0.1160948974734346
WeightedSumMultiStart,1,1,0.0,0.9888636447101781,0.48141672264018226,0.21037359451375592,0.3082096828460618,1.3012092118748693,369.7815585178808,0.007296125067286741,38.69716351394605,-0.9905709109112242,-0.10138832302156509,-0.2651839049799136,0.006069384364076669,0.11421183374363475,0.10264603068266354
WeightedSumMultiStart,2,1,0.0,0.9856936948745236,0.3494319065481157,0.5188600283724144,0.13170806507947,0.2600112105465081,-231.05593274894193,-0.03569724236912367,46.085469933877945,-0.86802244881875,-0.11757323818679666,-0.04908205470719107,0.1164790777283975,0.09802691857840318,0.11345581959005901
WeightedSumMultiStart,3,1,0.0,0.9744582499480889,0.455392465493608,0.15706110066708376,0.38754643383930826,1.8380331217015995,-1050.3239270193167,-0.031085541279282636,126.94146782988061,-1.1119670371149142,-0.11403646400996648,-0.039671922693920614,0.12746551056776667,0.10156369275523336,0.12286595160332947
WeightedSumMultiStart,4,1,0.0,0.9925735282304633,0.3667056603574937,0.2438336302282483,0.3894607094142581,1.23422633050648,-919.5258387002536,-0.04721647861344241,-55.39219286880825,-1.12373275974207,-0.12023635494188856,-0.05548886452516566,0.1392312331949226,0.09536380182331128,0.10704900977208442
WeightedSumMultiStart,5,1,0.0,1.0,0.44746476224032933,0.1404205164517126,0.41211472130795795,0.3263475417058993,273.51006168498265,-0.04672858847425785,100.44415080226621,-0.8500313594399165,-0.15264721354144495,-0.16854552923905164,0.13447016710723103,0.06295294322375489,0.006007654941801555
WeightedSumMultiStart,6,1,0.0,0.9858195272735122,0.543878603931112,0.38580828178713716,0.07031311428175084,2.7317458565634327,702.3359013773926,0.010173129319973051,97.82695193280554,-0.9705319264742776,-0.09170406304759515,-0.13538276322882314,0.013969600072869959,0.12389609371760468,0.02715511106842694
WeightedSumMultiStart,7,1,0.0,0.988528691692034,0.3700100705764879,0.36891656519194416,0.261073364231568,2.2072977750346436,575.0882075914442,0.018077685842348357,136.3912414792978,-0.9645591831104574,-0.09622135132049792,-0.1272340569718331,0.019942343436690102,0.11937880544470192,0.035303817325416986
WeightedSumMultiStart,8,1,0.0,1.0,0.033947648574871384,0.6400445088623447,0.3260078425627839,0.6986932520640156,200.89047708744454,-0.021274443895825557,231.3934471732579,-1.0141647930625401,-0.13967798735121573,-0.17140087154119055,0.02966326651539264,0.07592216941398411,0.008862997243940463
WeightedSumMultiStart,9,1,0.0,0.8435856135219666,0.40941259525283463,0.2868910944646128,0.30369631028255256,0.8458279342684639,-418.2680785309601,-0.01394212354890827,-98.16682148278039,-1.0556597346256096,0.10583576163229713,-0.05446164395560782,0.07115820807846207,0.32143591839749697,0.10807623034164227
WeightedSumMultiStart,10,1,0.0,0.6563627915523258,0.45642305710187153,0.45961292646521834,0.08396401643291021,1.279780721654217,-137.11784610413523,-0.005682404145220821,261.4732383485824,-1.0368203041140638,0.28670054289362845,-0.032491766239377995,0.052318777566916275,0.5023006996588283,0.1300461080578721
WeightedSumMultiStart,11,1,0.0,0.934876133635461,0.13812280612381866,0.5508075458911921,0.31106964798498926,-1.0941195592420987,-686.2768279584352,-0.03894922630741915,9.046745241353937,-0.5498097877752319,-0.2236297539450196,-0.03236827371197748,0.4346917387719156,0.00802959717981977,0.1301696005852726
